Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Detection Of Stimulus Involved In Sensory Perception Of Pain (GO:0062149),1/6,0.0014992198216206,0.0213383903648666,0,0,999.5,6499.559019889724,SCN1A
GO_Biological_Process_2023,Detection Of Mechanical Stimulus Involved In Sensory Perception (GO:0050974),1/14,0.0034953988931204,0.0213383903648666,0,0,384.2692307692308,2173.5450385769154,SCN1A
GO_Biological_Process_2023,NLS-bearing Protein Import Into Nucleus (GO:0006607),1/17,0.0042431439889969,0.0213383903648666,0,0,312.171875,1705.2235013634931,KPNA3
GO_Biological_Process_2023,Cardiac Muscle Cell Contraction (GO:0086003),1/18,0.0044922927083929,0.0213383903648666,0,0,293.79411764705884,1588.072397289777,SCN1A
GO_Molecular_Function_2023,Voltage-Gated Sodium Channel Activity (GO:0005248),1/19,0.0047413916093995,0.0183793597716176,0,0,277.4583333333333,1484.7973498875915,SCN1A
GO_Molecular_Function_2023,High Voltage-Gated Calcium Channel Activity (GO:0008331),1/23,0.0057372891133286,0.0183793597716176,0,0,226.9659090909091,1171.3185051583378,SCN1A
GO_Molecular_Function_2023,Nuclear Localization Sequence Binding (GO:0008139),1/24,0.005986138987596,0.0183793597716176,0,0,217.08695652173915,1111.118047594182,KPNA3
GO_Molecular_Function_2023,Voltage-Gated Monoatomic Ion Channel Activity (GO:0005244),1/27,0.0067323898885916,0.0183793597716176,0,0,192.0096153846154,960.2065018708712,SCN1A
GO_Biological_Process_2023,Cardiac Muscle Cell Action Potential (GO:0086001),1/29,0.0072296416117061,0.0236809439570473,0,0,178.27678571428572,878.8271482248972,SCN1A
GO_Biological_Process_2023,Cardiac Muscle Cell Action Potential Involved In Contraction (GO:0086002),1/30,0.0074781928285412,0.0236809439570473,0,0,172.1206896551724,842.6622961465415,SCN1A
GO_Biological_Process_2023,Calcium Ion Import Across Plasma Membrane (GO:0098703),1/37,0.0092166585448215,0.0250166446216584,0,0,138.60416666666666,649.6020692107373,SCN1A
GO_Molecular_Function_2023,Sodium Channel Activity (GO:0005272),1/37,0.0092166585448215,0.0183793597716176,0,0,138.60416666666666,649.6020692107373,SCN1A
GO_Molecular_Function_2023,Signal Sequence Binding (GO:0005048),1/41,0.0102089737568119,0.0183793597716176,0,0,124.71875,571.7716333774792,KPNA3
KEGG_2021_Human,Fat digestion and absorption,1/43,0.0107048332367716,0.0290238134498025,0,0,118.76785714285714,538.8568862241955,ABCA1
KEGG_2021_Human,ABC transporters,1/45,0.0112004940383236,0.0290238134498025,0,0,113.35795454545456,509.1809644864944,ABCA1
